n,lin,quad,matmult,
100,0.002,0.001,0.016,
200,0.003,0.002,0.073,
300,0.003,0.002,0.201,
400,0.002,0.002,0.402,
500,0.004,0.003,0.76,
600,0.003,0.002,1.245,
700,0.003,0.003,1.95,
800,0.004,0.005,2.832, 
900,0.004,0.004,3.868,
1000,0.004,0.004,5.271,
1100,0.006,0.005,7.115,
1200,0.007,0.006,10.01,
1300,0.005,0.007,16.689,
1400,0.006,0.009,22.843,
1500,0.005,0.009,30.92,
1600,0.005,0.01,43.441,
1700,0.005,0.011,51.392,
1800,0.006,0.013,59.541,
1900,0.005,0.016,,
2000,0.005,0.015,,
2100,0.006,0.016,,
2200,0.006,0.022,,
2300,0.006,0.019,,
2400,0.006,0.021,,
2500,0.007,0.023,,
2600,0.009,0.025,,
2700,0.007,0.026,,
2800,0.007,0.028,,
2900,0.009,0.033,,
3000,0.008,0.032,,
3100,0.008,0.035,,
3200,0.009,0.041,,
3300,0.011,0.039,,
3400,0.009,0.041,,
3500,0.011,0.045,,
3600,0.011,0.046,,
3700,0.01,0.048,,
3800,0.011,0.051,,
3900,0.01,0.054,,
4000,0.016,0.058,,
4100,0.013,0.062,,
4200,0.011,0.064,,
4300,0.011,0.065,,
4400,0.011,0.071,,
4500,0.02,0.072,,
4600,0.015,0.075,,
4700,0.022,0.079,,
4800,0.016,0.084,,
4900,0.014,0.085,,
5000,0.013,0.089,,
5100,0.013,0.094,,
5200,0.013,0.095,,
5300,0.014,0.099,,
5400,0.014,0.103,,
5500,0.013,0.106,,
5600,0.015,0.11,,
5700,0.014,0.115,,
5800,0.017,0.118,,
5900,0.027,0.123,,
6000,0.017,0.126,,
6100,0.019,0.13,,
6200,0.017,0.136,,
6300,0.017,0.138,,
6400,0.016,0.144,,
6500,0.018,0.148,,
6600,0.016,0.151,,
6700,0.016,0.157,,
6800,0.016,0.164,,
6900,0.018,0.171,,
7000,0.019,0.175,,
7100,0.018,0.176,,
7200,0.02,0.196,,
7300,0.019,0.189,,
7400,0.02,0.191,,
7500,0.021,0.2,,
7600,0.019,0.203,,
7700,0.022,0.207,,
7800,0.02,0.217,,
7900,0.019,0.22,,
8000,0.02,0.226,,
8100,0.02,0.234,,
8200,0.021,0.241,,
8300,0.02,0.239,,
8400,0.022,0.245,,
8500,0.02,0.254,,
8600,0.022,0.258,,
8700,0.037,0.267,,
8800,0.024,0.27,,
8900,0.024,0.277,,
9000,0.022,0.28,,
9100,0.023,0.29,,
9200,0.024,0.295,,
9300,0.022,0.301,,
9400,0.024,0.308,,
9500,0.023,0.315,,
9600,0.026,0.319,,
9700,0.024,0.327,,
9800,0.026,0.333,,
9900,0.024,0.346,,
10000,0.024,0.348,,
